2-0033-003, 15.0
1-0171-005, 39.0
2-1280-003, 40.0
1-0330-004, 36.0
1-0263-003, 34.0
2-0303-004, 36.0
2-1329-003, 28.0
2-0323-004, 34.0
2-1371-003, 17.0
2-0295-004, 38.0
2-1325-003, 22.0
1-0046-003, 20.0
2-0012-004, 51.0
1-0041-003, 22.0
2-1254-003, 54.0
2-1362-004, 37.0
2-1177-003, 31.0
2-0070-004, 44.0
2-1461-003, 48.0
2-0318-003, 49.0
2-1276-003, 32.0
1-0524-003, 26.0
2-1406-003, 50.0
2-1163-003, 42.0
2-1205-003, 23.0
2-1440-003, 38.0
1-0469-003, 28.0
2-1107-003, 38.0
2-1086-003, 36.0
1-0436-003, 47.0
2-1242-003, 25.0
2-0304-004, 39.0
1-0246-004, 43.0
1-0514-003, 48.0
2-1452-003, 41.0
3-0027-000, 36.0
1-0493-003, 22.0
2-1153-003, 40.0
2-1180-003, 35.0
1-0458-005, 47.0
1-0278-003, 38.0
2-1112-003, 26.0
1-0439-003, 42.0
2-1272-003, 26.0
2-1206-003, 30.0
2-1269-003, 32.0
1-0345-004, 34.0
2-1258-003, 33.0
2-0171-003, 24.0
2-0285-003, 42.0
2-1335-003, 33.0
1-0203-004, 47.0
2-0210-004, 39.0
1-0320-003, 64.0
2-1222-003, 30.0
2-1361-003, 28.0
2-1355-004, 32.0
1-0496-003, 32.0
2-1220-003, 33.0
2-1334-003, 28.0
2-1196-003, 36.0
1-0024-003, 31.0
1-0403-003, 36.0
2-0122-003, 46.0
2-1086-004, 46.0
1-0339-004, 54.0
2-1085-004, 53.0
2-0304-003, 37.0
2-1241-003, 21.0
1-0387-003, 35.0
2-0003-004, 62.0
2-0309-004, 41.0
2-0238-003, 48.0
2-1168-003, 38.0
2-1356-003, 36.0
3-0027-001, 44.0
2-1128-003, 38.0
2-1451-004, 31.0
1-0234-003, 46.0
1-0160-003, 46.0
2-1155-003, 26.0
2-1266-003, 28.0
2-0319-004, 41.0
2-0063-003, 27.0
2-1341-004, 48.0
1-0345-003, 43.0
2-1425-004, 50.0
2-0129-004, 50.0
2-0197-004, 43.0
2-0704-003, 26.0
2-1129-003, 40.0
2-1444-003, 33.0
1-0489-003, 35.0
2-1337-003, 44.0
2-1430-003, 41.0
1-0531-003, 44.0
2-1389-003, 37.0
2-1459-003, 33.0
2-1230-003, 26.0
2-1292-004, 35.0
2-0318-004, 53.0
1-0413-003, 14.0
1-0389-003, 174.0
2-1258-004, 27.0
2-1360-003, 35.0
1-0520-003, 52.0
2-0285-004, 44.0
2-0006-003, 37.0
2-1264-003, 28.0
1-0433-003, 47.0
2-1409-003, 30.0
2-1279-003, 37.0
3-0434-000, 29.0
2-0296-004, 41.0
2-1343-003, 21.0
1-0464-003, 24.0
2-1382-003, 57.0
1-0403-004, 32.0
2-1442-003, 32.0
2-0309-005, 45.0
2-1265-003, 29.0
1-0482-003, 33.0
2-1139-003, 339.0
2-1154-003, 43.0
2-1315-003, 39.0
2-1207-003, 37.0
2-0007-003, 39.0
2-1379-003, 31.0
1-0352-005, 31.0
3-0432-000, 25.0
